"대표전화", "대표", "대표번호", "대표 전화", "대전"
"총장실", "총장", "부총장", "직속기관", "총장실팀"
"감사실", "감사", "감사팀", "감사실팀"
"SW교육센터", "SW교육", "소프트웨어교육", "SW교수", "SW센터"
"메타버시티혁신센터", "메타버시티혁신", "메타버시티", "메타"
"대학혁신지원사업단", "대학혁신지원", "대학혁신", "혁신사업단"
"대학혁신지원사업운영지원팀", "운영지원팀", "대혁팀"
"K-Digital훈련원", "디지털훈련원", "K디지털", "K디지털훈련"
"기획운영팀", "기획운영", "기운팀", "기운"
"평생교육원", "평생교육", "교육원"
"법인사무과", "법인사무", "법사무",
"행정처", "행정", "행정팀", "행처"
"국제처", "국제", "국제팀", "국제처팀"
"단과대학", "단대", "학부", "단과", "학부대학"
"부속기관", "부속", "부속기관팀"
"일학습병행공동훈련센터", "일학습 병행 공동 훈련 센터", "일학습훈련", "일학습", "병행훈련", "훈련센터"
"조기취업형인재양성사업단", "조기 취업형 인재 양성 사업단", "조기취업형", "인재양성", "양성사업단", "조기취업형사업단"
"기획처", "기획"
"대학본부", "대학", "대학팀", "학교"
"유학생지원센터", "유학생 지원 센터", "유학생센터", "유학생지원", "유학생"
"입학홍보처", "입학 홍보 처", "입학홍보", "홍보처"
"학사운영팀", "학사 운영 팀", "운영팀", "학사팀", "학사", "학팀"
"연구기획팀", "연구 기획 팀", "연구팀", "연구기획"
"미래대학", "미래 대학", "미대", "미래학부",
"국제교육센터", "국제 교육 센터", "국제센터", "국제교육", "교육센터"
"건설사업본부", "건설 사업 본부", "건설본부", "건설사업", "사업본부"
"정보처", "정보", "정보팀", "정보처팀"
"경력개발처", "경력 개발 처", "경력개발", "개발처", "경력처"
"기업인재대학 본부", "기업 인재 대학 본부", "기업인재본부", "인재대학본부"
"교육기획팀", "교육 기획 팀", "교육팀", "기획교육"
"교무처", "교무", "교무팀", "교무처팀", "교학", "교학팀"
"기업인재대학", "기업 인재 대학", "기업인재대학본부", "기업인재"
"산업기술정책연구센터", "산업 기술 정책 연구 센터", "산기연", "산업기술센터", "산업정책연구"
"학생처", "학생", "학생팀", "학생처팀"
"연구지원팀", "연구 지원 팀", "연구지원", "연구 지원팀",
"자유전공학부", "자유 전공 학부", "자유전공", "자전학부"
"장애학생지원센터", "장애 학생 지원 센터", "장애학생지원", "장애학생센터"
"국제협력사업단", "국제 협력 사업단", "국제협력", "협력사업단", "협력사업"
